feature,importance
load_lag_1h,1.5212781668777415
rolling_24h_mean,0.30645783383345715
rolling_3h_mean,0.2301430510575068
load_lag_2h,0.1951458926313058
rolling_6h_mean,0.1662198811518008
load_lag_24h,0.15312855159215483
rolling_24h_min,0.1108988462745387
load_lag_168h,0.10774114567154303
rolling_3h_max,0.09919433970695579
is_business_hour,0.09831426264740381
hour,0.0699208097188363
hour_sin,0.06334886370203172
days_to_holiday,0.06301897236188206
rolling_12h_min,0.05805767754142857
rolling_3h_min,0.05504733055661277
load_lag_3h,0.05460914529015164
rolling_6h_min,0.053217436229279075
hour_cos,0.04501167834139103
rolling_6h_max,0.0375105961602271
load_lag_48h,0.036881785857682765
